,id,chain_index,url
0,1,0,https://mail.google.com/mail/u/0/?ui=2&ik=4a2b90302f&view=att&th=15136c9b027b15ff&attid=0.1&disp=safe&realattid=c798637eae6c3bc6_0.1&zw
1,1,1,https://mail-attachment.googleusercontent.com/attachment/u/0/?ui=2&ik=4a2b90302f&view=att&th=15136c9b027b15ff&attid=0.1&disp=safe&realattid=c798637eae6c3bc6_0.1&zw&saddbat=ANGjdJ9B1b8CrYBlXeIm8kISw89YvJio6cAkjEhkDVV_YMk74Zsr8IbjrmnWrTb-fmGTpEPmGeNUNYeQQMdRavNvlukn6ufhUbqlk8lp9YJuC-pKooLkJg4rHmoepVP10lxZIyeroFldJyI-fD6sNfYPs0dQI31rxnmxJKdgr4Nz59J8B7J-8UANvXSQJwcHLjvf3QH_XtzZeCRidV-1V7jXOvq4Bo09wu02PgrLy8sTiZG3GO3eWL_oUwG1he0TsHlO_JdR0SQuj4Jc_0ONXwN0iqB3sRXDn0uiW4Ce7jKGNr1OlPGfIwslwUBmA3DeGTOkrBg-qYJdX6lcVLak_CBnwyDw7jdPYVV1H5Znkqsj3HlZeiqeewV13_uwk1xM70z6SzghTtYMgmhg_9kMbuPA66fWrF5Q0ySoIfFSGFiHngjThkVgMPANosjbrh3t5qmQ0N1_bh9H9EUJ64fcO4IMmo1Tg5Y-CGKauIV6eidghvzW5WjRnMSskDS8Jhb-OqfukyWLJivTKYmzQfiYQ8PCP7PrME5Owo4M8liaWUSiGk9O-LPoqTRS6bR7olO8m1j9eirwat9F_ldxn59i326nviqSaexHJkd9evLMp5ISmjIMR6aX61wemzBfEgI
2,2,0,https://mail.google.com/mail/u/0/?ui=2&ik=4a2b90302f&view=att&th=15136c9b027b15ff&attid=0.2&disp=safe&realattid=cc666e8458891b92_0.1&zw
3,2,1,https://mail-attachment.googleusercontent.com/attachment/u/0/?ui=2&ik=4a2b90302f&view=att&th=15136c9b027b15ff&attid=0.2&disp=safe&realattid=cc666e8458891b92_0.1&zw&saddbat=ANGjdJ94vHoGti1ddYfsafhprJKfFopubnslwDu6BEOfjc_nLabbJZUaA0ArbcsTECAyy65rGyT1U0PpFtP67OECgoZrgjKJoI0d59UL2kXMIVtL_8boq-5mFfMKmlhK-wKxLjp9vBGZ-GyHvd_JAuqzX1qVLBxxquBOieAKbImZM0_o9x5wid7km0mOh4SYiVOhKr1r4cRBR1ZbO2zLnXj2RePu1YdzwqppeB1OOzdTp95RDy_Zk48SNlmK1e6ocs-2b15xZy8ysLhGCJflOonTX_iy0o-nWqiq8SafxYMaadIjOgdqiJry_Jg9g7TxSrJgn2HWopwYmOhcxZBwyXSfR4B3A1FzJ_wQZWCYvDojH1nfbE-2hGUhjp1UL_ALsMh63VA0WwmpcKpdcuOUDigo8TphBI_FfiOlzxxnMH_91eYWQziUu0w70UamYsNQvdocJRGy8RRA8q8hscG3WpZW1G8wrFWyuAkAPGonuXRPGmOJLLS30_AFdw7im3hhkwYwFO_Xi5bLKzWl8QItPppNOi4j4ZGX4z7M3mkEd2hPAsgG7svB7xZ3S65TEJ7-SrmLv6v7OgSzHnNO36gb97t3qEbdf_ubtJv5Ycc7NWKmblBihNvxUg9OmSA5tDE
4,3,0,file:///Users/morgane/workspace/DataRobot/tests/testdata/10k_diabetes.xlsx
5,4,0,http://mrvar.fdv.uni-lj.si/pub/mz/mz3.1/vuk.pdf
6,5,0,http://c758482.r82.cf2.rackcdn.com/Sublime%20Text%20Build%203083.dmg
7,6,0,https://atom.io/download/mac
8,6,1,https://github-cloud.s3.amazonaws.com/releases/3228505/aac1751c-8f72-11e5-9607-f9b54722cb7c.zip?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAISTNZFOVBIJMK3TQ%2F20151124%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20151124T154753Z&X-Amz-Expires=300&X-Amz-Signature=393fce6f92831a49666fcba6b92d07ed12174e55d507ced33469a9cade690eaa&X-Amz-SignedHeaders=host&actor_id=0&response-content-disposition=attachment%3B%20filename%3Datom-mac.zip&response-content-type=application%2Foctet-stream
9,7,0,http://vis.stanford.edu/files/2011-Orion-VAST.pdf
