,keyword_id,url_id,lower_term,term
0,2,3181,delete branch git,delete branch git
1,2,4999,color picker,color picker
2,15,8201,chet faker,chet faker
3,15,10923,yosi horikawa,yosi horikawa
4,2,12923,d3 ease,d3 ease
5,2,19049,quantile,quantile
6,2,20884,accuracy vs precision,accuracy vs precision
7,15,21979,marcus marr peacemakers,marcus marr peacemakers
8,2,23220,density plot,density plot
9,2,25579,define perfunctory,define perfunctory
10,15,25863,nicolas jaar,nicolas jaar
11,2,26174,git reset local branch,git reset local branch
12,15,26577,nicolas jaar problems with the sun,nicolas jaar problems with the sun
13,2,27526,chrome version,chrome version
14,15,27612,whilk and misky playlist,whilk and misky playlist
15,15,27783,whilk and misky smalltown boy,whilk and misky smalltown boy
16,2,28289,browser.wait,browser.wait
17,2,29963,define gestalt,define gestalt
18,2,30494,d3.quantile,d3.quantile
19,2,30746,define elevate,define elevate
20,2,30782,html input,html input
21,15,30980,best of portugal the man,best of portugal the man
22,15,31021,beyonce freedom,beyonce freedom
23,2,31440,partial dependence plot,partial dependence plot
24,2,32377,jungle fever,jungle fever
25,2,32383,matcha latte caffeine,matcha latte caffeine
26,2,32384,matcha latte caffeine starbucks,matcha latte caffeine starbucks
27,2,32386,how much caffeine is in coffee,how much caffeine is in coffee
28,2,32390,partial dependence,partial dependence
29,2,32398,remove string from array javascript,remove string from array javascript
30,2,32407,sadboy,sadboy
31,2,32413,d3 show reel,d3 show reel
32,2,32421,odsc logo,odsc logo
33,2,32422,odsc logo,odsc logo
34,2,32423,reveal js examples,reveal js examples
35,2,32431,d3 logo,d3 logo
36,2,32432,d3 logo transparent,d3 logo transparent
37,2,32433,d3 logo transparent,d3 logo transparent
38,2,32436,datarobot,datarobot
39,2,32437,datarobot,datarobot
40,2,32438,datarobot,datarobot
41,2,32442,datarobot,datarobot
42,2,32446,arrow cycle,arrow cycle
43,2,32447,arrow cycle,arrow cycle
44,2,32448,font awesome reveal.js,font awesome reveal.js
45,2,32450,nero,nero
46,2,32451,nero,nero
47,2,32452,stack overflow,stack overflow
48,37,32113,ugly matplotlib,ugly matplotlib
49,2,32454,ugly matplotlib,ugly matplotlib
50,2,32455,ugly matplotlib,ugly matplotlib
51,2,32456,ugly matplotlib,ugly matplotlib
52,2,32459,nero,nero
53,2,32461,scott alexander neoreactionary,scott alexander neoreactionary
54,2,32467,define gratuitious,define gratuitious
55,2,32473,define psyche,define psyche
56,2,32486,define consonant,define consonant
57,2,32526,buffy and angel,buffy and angel
58,2,32529,buffy and spike and angel,buffy and spike and angel
59,2,32530,buffy and spike and angel,buffy and spike and angel
60,2,32531,buffy and angel,buffy and angel
61,2,32532,buffy and angel,buffy and angel
62,2,32535,nero married two men,nero married two men
63,2,32537,nero same-sex marriage,nero same-sex marriage
64,2,32540,diamon ring,diamon ring
65,2,32541,diamond ring,diamond ring
66,2,32542,diamond ring de beers,diamond ring de beers
67,2,32543,diamond ring de beers,diamond ring de beers
68,2,32544,diamond ring de beers,diamond ring de beers
69,2,32545,diamond ring de beers old advertisement,diamond ring de beers old advertisement
70,2,32546,diamond ring de beers old advertisement,diamond ring de beers old advertisement
71,2,32547,diamond ring de beers old advertisement,diamond ring de beers old advertisement
72,2,32548,diamond ring de beers old advertisement,diamond ring de beers old advertisement
73,2,32549,diamond ring de beers old advertisement,diamond ring de beers old advertisement
74,2,32550,diamond ring de beers old advertisement,diamond ring de beers old advertisement
75,2,32551,diamond ring de beers old advertisement,diamond ring de beers old advertisement
76,2,32555,de beers advertising,de beers advertising
77,2,32556,de beers advertising,de beers advertising
78,2,32557,de beers advertising,de beers advertising
79,2,32560,de beers advertising,de beers advertising
80,2,32561,de beers advertising,de beers advertising
81,2,32562,de beers advertising,de beers advertising
82,2,32566,de beers advertising,de beers advertising
83,2,32567,de beers advertising,de beers advertising
84,2,32570,define eternal,define eternal
85,2,32573,.ai to .png,.ai to .png
86,15,32588,best of alt-j,best of alt-j
87,2,32603,atlas ventures,atlas ventures
88,2,32658,accuracy vs precision,accuracy vs precision
89,2,32659,accuracy vs precision,accuracy vs precision
90,2,32663,partial dependence explanation,partial dependence explanation
91,2,32667,define banal,define banal
92,2,32668,define banality,define banality
93,2,32714,decile,decile
94,2,32719,define counterfactual,define counterfactual
95,2,32720,teenage engineering,teenage engineering
96,2,32784,define amass,define amass
97,2,32809,partial dependence explanation,partial dependence explanation
98,2,32812,partial dependence explanation,partial dependence explanation
99,2,32813,partial dependence,partial dependence
100,15,32814,partial dependence ,partial dependence 
101,15,32816,partial dependence plot,partial dependence plot
102,2,32820,sklearn source ccode,sklearn source ccode
103,2,32851,html summation symbol,html summation symbol
104,2,32853,font,font
105,2,32854,css font-family,css font-family
106,2,32857,weather correlated with,weather correlated with
107,2,32858,stock prices ,stock prices 
108,2,32863,dunning-kruger,dunning-kruger
109,2,32871,reveal js notes,reveal js notes
110,2,32874,mese,mese
111,2,32914,vivien peng,vivien peng
112,2,32920,how to embed speaker notes reveal js,how to embed speaker notes reveal js
113,2,32923,tsundoku,tsundoku
114,2,32932,reveal js presentation mode,reveal js presentation mode
115,2,32942,cool d3 visualizations,cool d3 visualizations
116,2,32943,cool d3 visualizations,cool d3 visualizations
117,2,32944,cool d3 visualizations,cool d3 visualizations
118,2,32947,datarobot,datarobot
119,2,32948,datarobot,datarobot
120,2,32949,datarobot,datarobot
121,2,32963,reveal js,reveal js
122,2,33039,chris hemsworth,chris hemsworth
123,2,33040,chris hemsworth,chris hemsworth
124,2,33041,month to month leases boston,month to month leases boston
125,2,33044,moby dick,moby dick
126,2,33059,datacamp,datacamp
127,2,33063,nick carchedi,Nick Carchedi
128,2,33134,whole earth catalogue,whole earth catalogue
129,2,33139,desktop alarm,desktop alarm
130,2,33140,desktop alarm mc,desktop alarm mc
131,2,33141,desktop alarm mac,desktop alarm mac
132,22,33196,#odsc,#ODSC
133,22,33197,#odsc datarobot,#ODSC datarobot
134,2,33248,qwop,qwop
135,2,33250,girp,girp
136,2,33313,jquery protractor selector,jquery protractor selector
137,2,33318,jquery protractor find,jquery protractor find
138,2,33320,select element from selction protractor,select element from selction protractor
139,2,33321,protractor select first element,protractor select first element
140,2,33323,angular protractor equivalent of find,angular protractor equivalent of find
141,2,33337,- https://datarobot.atlassian.net/browse/mmsquad-400,- https://datarobot.atlassian.net/browse/MMSQUAD-400
142,25,33339,coreapp-952,coreapp-952
143,25,33340,coreapp-946,coreapp-946
144,2,33366,- https://datarobot.atlassian.net/browse/coreapp-1027,- https://datarobot.atlassian.net/browse/COREAPP-1027
145,2,33404,empanada,empanada
146,2,33405,empanada in spanish,empanada in spanish
147,2,33412,hold the door,hold the door
148,2,33451,complete obsession bbc,complete obsession bbc
149,2,33453,mysteryland 2016,mysteryland 2016
150,2,33455,boston calling,boston calling
151,2,33458,carl elliott philosophy,carl elliott philosophy
152,2,33460,apotemnophilia john money,apotemnophilia john money
153,2,33463,josephine johnston apotemnophilia,Josephine Johnston apotemnophilia
154,2,33465,psychopathia sexualis,psychopathia sexualis
155,2,33473,basic bitch,basic bitch
156,2,33475,carl elliott,carl elliott
157,2,33477,newyorker,newyorker
158,2,33478,carl elliott new yorker,carl elliott new yorker
159,2,33484,carl elliott new york times,carl elliott new york times
160,39,33486,carl elliott,carl elliott
161,2,33501,craigslist,craigslist
162,2,33577,singapore time,singapore time
163,2,33589,riff raff,riff raff
164,2,33590,riff raff,riff raff
165,2,33591,riff raff rocky horror,riff raff rocky horror
166,2,33592,riff raff vine compilation,riff raff vine compilation
167,2,33594,riff raff,riff raff
168,2,33605,protractor no such window,protractor no such window
169,2,33612,soccer store boston,soccer store boston
170,2,33613,soccer store boston,soccer store boston
171,2,33614,soccer store boston,soccer store boston
172,31,33615,"soccer+store/@42.3566315,-71.055708,15z","soccer+store/@42.3566315,-71.055708,15z"
173,31,33616,"soccer+store/@42.3567051,-71.0819728,13z/data=!3m1!4b1","soccer+store/@42.3567051,-71.0819728,13z/data=!3m1!4b1"
174,31,33617,"soccer+store/@42.3553938,-71.0693675,14.8z","soccer+store/@42.3553938,-71.0693675,14.8z"
175,31,33618,"soccer+store/@42.3518248,-71.0744434,14.8z","soccer+store/@42.3518248,-71.0744434,14.8z"
176,31,33619,"soccer+store/@42.3508051,-71.0775481,14.8z","soccer+store/@42.3508051,-71.0775481,14.8z"
177,31,33620,"soccer+store/@42.3497242,-71.0762006,16.39z","soccer+store/@42.3497242,-71.0762006,16.39z"
178,31,33621,"soccer+store/@42.3530359,-71.073804,16.39z","soccer+store/@42.3530359,-71.073804,16.39z"
179,31,33622,"soccer+store/@42.3539093,-71.071309,16.39z","soccer+store/@42.3539093,-71.071309,16.39z"
180,31,33623,"soccer+store/@42.3520412,-71.0743457,16.39z","soccer+store/@42.3520412,-71.0743457,16.39z"
181,15,33699,you and me disclosure,you and me disclosure
182,15,33709,disclosure,disclosure
183,2,33738,google tpu,google tpu
184,2,33747,$scope.$on,$scope.$on
185,2,33748,protractor $scope,protractor $scope
186,2,33750,protractor $scope event listneer,protractor $scope event listneer
187,2,33751,protractor $scope event listener,protractor $scope event listener
188,2,33855,define beneficial,define beneficial
189,2,33905,apotemnophilia atlantic,apotemnophilia atlantic
190,15,33907,secret life of the human pup,secret life of the human pup
191,15,33912,puppy play,puppy play
192,2,33916,time well spent internet,time well spent internet
193,2,33925,northeast animal shelter,northeast animal shelter
194,2,33940,ng-repeat angularjs,ng-repeat angularjs
195,2,33942,angular filter,angular filter
196,2,33944,javascript precision,javascript precision
197,2,33946,angular filter,angular filter
198,2,33948,$scope.$applyasync,$scope.$applyAsync
199,2,33952,force angular to update,force angular to update
200,2,33957,d3 ease,d3 ease
201,2,33958,lcoa,lcoa
202,15,33976,cotton eyed joe,cotton eyed joe
203,15,33978,triumphant soundtrack,triumphant soundtrack
204,15,33980,shakira waka waka,shakira waka waka
205,2,34028,define locution,define locution
206,2,34029,define extirpate,define extirpate
207,2,34050,armani silos,armani silos
208,2,34051,armani gowns,armani gowns
209,2,34052,armani gowns,armani gowns
210,2,34068,undo git add,undo git add
211,2,34071,response status codes,response status codes
212,2,34073,hasownproperty vs in,hasownproperty vs in
213,2,34075,=== vs == js,=== vs == js
214,2,34077,operand vs operator,operand vs operator
215,15,34125,best of polyenso,best of polyenso
216,15,34127,best of disclosure,best of disclosure
217,15,34135,top tracks for disclosure,top tracks for disclosure
218,15,34156,beyonce lemonade,beyonce lemonade
219,15,34242,best of whilk and misky,best of whilk and misky
220,2,34252,define melody,define melody
221,2,34253,magic leap,magic leap
222,15,34254,magic leap,magic leap
223,2,34258,magicleap,magicleap
224,15,34261,the kooks sweet emotion,the kooks sweet emotion
225,2,34264,garden of earthly delights,garden of earthly delights
226,2,34265,garden of earthly delights,garden of earthly delights
227,2,34266,garden of earthly delights,garden of earthly delights
228,2,34269,garden of earthly delights,garden of earthly delights
229,2,34270,garden of earthly delights,garden of earthly delights
230,2,34273,bosch earthly delights wiki,bosch earthly delights wiki
231,2,34276,the garden of earthly delights documentary,the garden of earthly delights documentary
232,15,34293,poetry how does it feel ,poetry how does it feel 
233,15,34294,poetry how does it feel ,poetry how does it feel 
234,15,34295,ryhe,ryhe
235,15,34300,bbc garden of earthly delights,bbc garden of earthly delights
236,15,34303,icelandic hymn german train station ,icelandic hymn german train station 
237,2,34305,bbc renaissance revolution bosch,bbc renaissance revolution bosch
238,2,34322,courtney love,courtney love
239,2,34323,courtney love basquiat,courtney love basquiat
240,2,34324,state street provisions,state street provisions
241,2,34325,ward 8 boston,ward 8 boston
242,2,34330,north street grille,north street grille
243,2,34331,brunch places north end,brunch places north end
244,2,34332,brunch places north end,brunch places north end
245,2,34333,brunch places north end,brunch places north end
246,2,34334,basquiat,basquiat
247,2,34335,basquiat,basquiat
248,2,34336,basquiat,basquiat
249,2,34337,basquiat,basquiat
250,2,34338,basquiat,basquiat
251,2,34339,basquiat,basquiat
252,2,34340,basquiat,basquiat
253,2,34341,basquiat,basquiat
254,2,34342,basquiat warhol,basquiat warhol
255,2,34343,basquiat warhol,basquiat warhol
256,2,34346,basquiat warhol,basquiat warhol
257,2,34347,basquiat warhol,basquiat warhol
258,2,34348,basquiat warhol,basquiat warhol
259,2,34349,basquiat warhol,basquiat warhol
260,2,34350,basquiat warhol,basquiat warhol
261,2,34351,basquiat warhol,basquiat warhol
262,2,34352,basquiat warhol,basquiat warhol
263,2,34353,albert milo,albert milo
264,2,34354,albert milo,albert milo
265,2,34355,schnabel,Schnabel
266,2,34356,schnabel,Schnabel
267,2,34357,schnabel,Schnabel
268,2,34358,schnabel,Schnabel
269,2,34359,schnabel,Schnabel
270,2,34360,schnabel,Schnabel
271,2,34361,schnabel,Schnabel
272,2,34362,schnabel,Schnabel
273,2,34363,schnabel,Schnabel
274,2,34364,schnabel,Schnabel
275,2,34365,schnabel,Schnabel
276,2,34366,schnabel,Schnabel
277,2,34380,cfa,cfa
278,2,34394,this american life,this american life
279,2,34415,thechive,thechive
280,15,34431,polyenso,polyenso
281,15,34432,polyenso 17 new years,polyenso 17 new years
282,2,34434,rice pudding,rice pudding
283,2,34454,marines,marines
284,2,34457,al-razi,al-razi
285,2,34458,al-raz,al-raz
286,2,34479,link to line number github,link to line number github
287,2,34483,how to fall out of lvoe,how to fall out of lvoe
288,2,34484,how to fall out of love,how to fall out of love
289,2,34487,angular updatemock,angular updatemock
290,2,34488,angular update mock,angular update mock
291,2,34498,do unit tests need unit tests,do unit tests need unit tests
292,2,34523,seven people langston hughes,seven people langston hughes
293,31,34538,"49+boylston+st,+brookline,+ma/@42.3315613,-71.1210861,17z","49+Boylston+St,+Brookline,+MA/@42.3315613,-71.1210861,17z"
294,2,34599,redis,redis
295,2,34602,watch game of thrones onlien,watch game of thrones onlien
296,2,34604,game of thrones season 6 episode 4,game of thrones season 6 episode 4
297,2,34661,define hypothesize,define hypothesize
298,2,34672,message passing tube,message passing tube
299,2,34673,message passing tube,message passing tube
300,2,34674,message passing tube,message passing tube
301,2,34675,yahoo 1995,yahoo 1995
302,2,34676,yahoo 1995,yahoo 1995
303,2,34677,yahoo 1995,yahoo 1995
304,2,34678,wayback machine,wayback machine
305,2,34695,http 302 code,http 302 code
306,2,34705,semicolon use,semicolon use
307,2,34707,angular component,angular component
308,2,34709,javascript filter array,javascript filter array
309,2,34713,insecurerequestwarning: unverified https request is being made.,InsecureRequestWarning: Unverified HTTPS request is being made.
310,2,34715,request session user agent,request session user agent
311,2,34723,500 error,500 error
312,2,34725,update object lodash,update object lodash
313,2,34730,lodash push array object,lodash push array object
314,2,34733,lodash update object,lodash update object
315,2,34734,lodash update array within object,lodash update array within object
316,2,34736,lodash update array in object,lodash update array in object
317,2,34737,hortonworks,hortonworks
318,2,34742,javascript round,javascript round
319,2,34745,robot unicorn attack,robot unicorn attack
320,2,34759,reset local branch to remote,reset local branch to remote
321,2,34768,romaine lettuce,romaine lettuce
322,2,34772,javascript infinity,javascript infinity
323,15,34778,soundtrack to my life kid cudi lyrics,soundtrack to my life kid cudi lyrics
324,2,34803,define bluf,define bluf
325,2,34833,blonde hair red tips,blonde hair red tips
