,id,segment_id,time_slot,visit_count
0,1,1,13092728400000000,33
1,2,2,13092728400000000,8
2,5,2,13092814800000000,10
3,6,5,13092814800000000,2
4,7,1,13092814800000000,6
5,9,1,13092901200000000,4
6,11,5,13092901200000000,1
7,12,7,13092901200000000,1
8,19,2,13093074000000000,17
9,20,5,13093074000000000,1
10,24,15,13093074000000000,5
11,28,15,13093333200000000,1
12,29,5,13093333200000000,36
13,34,5,13093506000000000,5
14,36,2,13093506000000000,59
15,40,2,13093592400000000,27
16,41,20,13093592400000000,1
17,43,1,13093592400000000,4
18,45,5,13093592400000000,1
19,46,15,13093592400000000,1
20,50,25,13093678800000000,1
21,53,1,13093678800000000,2
22,58,29,13093938000000000,1
23,59,5,13093938000000000,6
24,62,1,13093938000000000,1
25,65,34,13093938000000000,1
26,72,15,13094024400000000,1
27,73,2,13094024400000000,1
28,75,39,13094024400000000,1
29,77,41,13094024400000000,1
30,78,1,13094024400000000,1
31,80,5,13094110800000000,5
32,81,1,13094110800000000,1
33,82,15,13094110800000000,5
34,86,25,13094110800000000,1
35,87,45,13094110800000000,1
36,88,2,13094110800000000,38
37,89,46,13094110800000000,1
38,91,48,13094110800000000,1
39,92,41,13094110800000000,3
40,94,50,13094110800000000,3
41,95,2,13094197200000000,26
42,97,41,13094197200000000,7
43,98,5,13094197200000000,1
44,99,1,13094197200000000,2
45,101,29,13094197200000000,1
46,102,15,13094197200000000,1
47,103,46,13094197200000000,2
48,104,1,13094283600000000,4
49,106,5,13094283600000000,1
50,107,41,13094283600000000,1
51,108,29,13094283600000000,1
52,109,46,13094283600000000,1
53,110,1,13094542800000000,1
54,111,15,13094542800000000,1
55,112,2,13094542800000000,2
56,113,51,13094542800000000,3
57,115,50,13094542800000000,4
58,116,29,13094542800000000,2
59,118,48,13094542800000000,5
60,119,15,13094629200000000,2
61,123,45,13094629200000000,2
62,127,48,13094629200000000,2
63,129,41,13094629200000000,1
64,130,56,13094629200000000,1
65,133,1,13094715600000000,1
66,134,20,13094715600000000,1
67,135,15,13094715600000000,1
68,136,57,13094715600000000,1
69,138,5,13094715600000000,1
70,139,48,13094715600000000,2
71,141,41,13094715600000000,1
72,142,29,13094715600000000,1
73,144,48,13094802000000000,13
74,146,29,13094802000000000,1
75,147,61,13094802000000000,1
76,148,2,13094802000000000,1
77,149,62,13094802000000000,1
78,150,63,13094802000000000,2
79,151,41,13094802000000000,2
80,155,1,13094888400000000,5
81,156,48,13094888400000000,3
82,157,41,13094888400000000,5
83,158,50,13094888400000000,1
84,160,67,13094888400000000,1
85,161,2,13094888400000000,8
86,163,20,13094888400000000,1
87,168,5,13095061200000000,1
88,171,41,13095061200000000,3
89,172,61,13095061200000000,1
90,178,1,13095147600000000,2
91,179,77,13095147600000000,1
92,182,41,13095147600000000,2
93,184,34,13095147600000000,1
94,185,1,13095234000000000,2
95,187,29,13095234000000000,1
96,188,15,13095234000000000,2
97,189,34,13095234000000000,1
98,190,41,13095234000000000,1
99,193,61,13095320400000000,4
100,195,41,13095320400000000,6
101,196,1,13095320400000000,2
102,197,48,13095320400000000,9
103,199,5,13095320400000000,1
104,202,2,13095406800000000,11
105,206,41,13095406800000000,3
106,207,29,13095406800000000,1
107,208,48,13095752400000000,11
108,210,87,13095752400000000,2
109,211,41,13095752400000000,4
110,212,48,13095838800000000,5
111,214,41,13095838800000000,4
112,215,29,13095838800000000,3
113,216,1,13095838800000000,4
114,218,88,13095838800000000,4
115,219,46,13095838800000000,1
116,220,63,13095838800000000,1
117,226,50,13095925200000000,7
118,227,41,13095925200000000,3
119,228,1,13096011600000000,5
120,230,29,13096011600000000,2
121,232,48,13096011600000000,21
122,234,2,13096011600000000,11
