,id,url,visit_time,from_visit,transition,segment_id,visit_duration
0,114499,32356,13107975581298682,0,805306368,0,0
1,114500,70,13107975586944549,0,805306368,0,4500677
2,114501,32357,13107975609516743,0,805306368,0,0
3,114502,32358,13107975621278585,0,268435456,0,0
4,114503,32359,13107975621278585,114502,2684354560,0,23785048
5,114504,19,13107975649018689,0,805306368,0,0
6,114505,32360,13107975655008068,0,805306368,0,0
7,114506,32361,13107975657706489,0,268435456,0,0
8,114507,32362,13107975657706489,114506,2147483648,0,0
9,114508,32363,13107975657706489,114507,2684354560,0,46059192
10,114509,19,13107975658220507,0,805306368,0,0
11,114510,32364,13107975659559485,0,805306368,0,0
12,114511,19,13107975662541914,0,805306368,0,0
13,114512,32365,13107975668856006,0,805306368,0,0
14,114513,19,13107975670224959,0,805306368,0,0
15,114514,32366,13107975672782331,0,805306368,0,0
16,114515,19,13107975677868150,0,805306368,0,0
17,114516,32367,13107975679265150,0,805306368,0,0
18,114517,32368,13107975681041375,0,805306368,0,0
19,114518,32367,13107975683216181,0,822083584,0,0
20,114519,19,13107975684080307,0,805306368,0,0
21,114520,32369,13107975685605305,0,805306368,0,0
22,114521,32370,13107975686703651,0,805306368,0,0
23,114522,32369,13107975687545944,0,822083584,0,0
24,114523,19,13107975693878896,0,805306368,0,2415713
25,114524,32049,13107975724413082,0,268435462,0,0
26,114525,32050,13107975724718296,114524,1610612736,0,1726220
27,114526,32343,13107975727926974,0,805306368,0,0
28,114527,32301,13107975741910054,0,805306368,0,0
29,114528,32343,13107975742954296,0,805306368,0,0
30,114529,32299,13107975744127223,0,805306368,0,0
31,114530,32343,13107975745386157,0,805306368,0,0
32,114531,32300,13107975750952608,0,805306368,0,0
33,114532,32343,13107975751883064,0,805306368,0,0
34,114533,32343,13107975770477024,0,805306376,0,0
35,114534,32343,13107975828248393,0,805306376,0,0
36,114535,32343,13107975848969904,0,805306376,0,0
37,114536,32343,13107975876935851,0,805306376,0,0
38,114537,32343,13107976305371661,0,805306376,0,0
39,114538,32343,13107976329899344,0,805306376,0,0
40,114539,32343,13107976384139814,0,805306376,0,0
41,114540,32343,13107976459995987,0,805306376,0,0
42,114541,32343,13107976626347303,0,805306376,0,0
43,114542,32343,13107976670128815,0,805306376,0,0
44,114543,32343,13107976710913882,0,805306376,0,0
45,114544,32343,13107976777723140,0,805306376,0,0
46,114545,32343,13107976869230008,0,805306376,0,0
47,114546,32343,13107976936663200,0,805306376,0,0
48,114547,32343,13107976964785321,0,805306376,0,0
49,114548,32343,13107976996279441,0,805306376,0,0
50,114549,32343,13107977052154492,0,805306376,0,0
51,114550,32343,13107977079960938,0,805306376,0,0
52,114551,32343,13107977099417779,0,805306376,0,0
53,114552,32343,13107977171423511,0,805306376,0,0
54,114553,32343,13107977243062881,0,805306376,0,0
55,114554,32300,13107977278324007,0,805306368,0,0
56,114555,32343,13107977279285899,0,805306368,0,0
57,114556,32300,13107977281079934,0,805306368,0,0
58,114557,32301,13107977281838510,0,805306368,0,0
59,114558,32300,13107977282926453,0,805306368,0,0
60,114559,32343,13107977284127941,0,805306368,0,0
